transaction_id,date,time,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,shipping_address,order_status,customer_country
T001,2026-01-01,08:15:00,C1001,P501,Wireless Mouse,Electronics,1,29.99,29.99,Credit Card,New York USA,Delivered,USA
T002,2026-01-01,09:32:15,C1002,P502,USB-C Cable,Electronics,2,12.50,25.00,PayPal,London UK,Shipped,UK
T003,2026-01-01,10:45:30,C1003,P503,Phone Case,Accessories,1,15.99,15.99,Debit Card,Toronto Canada,Processing,Canada
T004,2026-01-01,11:20:45,C1004,P504,Laptop Stand,Office,3,34.99,104.97,Credit Card,Sydney Australia,Delivered,Australia
T005,2026-01-01,12:10:00,C1005,P505,Keyboard Mechanical,Electronics,1,89.99,89.99,Apple Pay,Berlin Germany,Shipped,Germany
T006,2026-01-01,13:55:20,C1006,P506,Monitor 27 inch,Electronics,1,249.99,249.99,Credit Card,Paris France,Processing,France
T007,2026-01-01,14:30:15,C1001,P507,Webcam HD,Electronics,1,79.99,79.99,PayPal,New York USA,Delivered,USA
T008,2026-01-01,15:45:50,C1007,P508,Desk Lamp LED,Office,2,22.50,45.00,Credit Card,Tokyo Japan,Shipped,Japan
T009,2026-01-01,16:20:30,C1008,P509,Phone Screen Protector,Accessories,5,8.99,44.95,Debit Card,Toronto Canada,Delivered,Canada
T010,2026-01-01,17:15:00,C1009,P510,External SSD 1TB,Electronics,1,119.99,119.99,Credit Card,Mumbai India,Processing,India
T011,2026-01-02,08:00:00,C1010,P511,Mouse Pad,Accessories,1,9.99,9.99,PayPal,Mexico City Mexico,Shipped,Mexico
T012,2026-01-02,09:30:45,C1011,P512,HDMI Cable,Electronics,3,5.99,17.97,Credit Card,Madrid Spain,Delivered,Spain
T013,2026-01-02,10:15:20,C1012,P513,Notebook Set,Office,2,14.99,29.98,Apple Pay,Amsterdam Netherlands,Processing,Netherlands
T014,2026-01-02,11:45:00,C1013,P514,Phone Mount Car,Accessories,1,19.99,19.99,Credit Card,Dubai UAE,Shipped,UAE
T015,2026-01-02,12:30:15,C1002,P515,Portable Charger,Electronics,1,45.99,45.99,PayPal,London UK,Delivered,UK
T016,2026-01-02,13:20:30,C1014,P516,Desk Organizer,Office,1,24.99,24.99,Debit Card,Seoul South Korea,Processing,South Korea
T017,2026-01-02,14:50:45,C1015,P517,USB Hub 7 Port,Electronics,1,34.99,34.99,Credit Card,Singapore,Shipped,Singapore
T018,2026-01-02,15:35:20,C1016,P518,Pen Set Premium,Office,3,16.99,50.97,PayPal,Bangkok Thailand,Delivered,Thailand
T019,2026-01-02,16:45:00,C1017,P519,Phone Earbuds,Electronics,1,69.99,69.99,Apple Pay,Buenos Aires Argentina,Processing,Argentina
T020,2026-01-02,17:20:15,C1018,P520,Monitor Stand Adjustable,Office,1,49.99,49.99,Credit Card,São Paulo Brazil,Shipped,Brazil
