ID,Sales,Units,Price,Region,Score,Revenue,Quantity
1,5432,245,523.45,North,87,45230,234
2,8901,412,789.12,South,92,78901,401
3,3456,178,234.56,East,75,34567,165
4,7234,389,567.89,West,88,72340,378
5,2345,123,145.67,North,82,23450,112
6,9123,467,890.34,South,95,91234,456
7,4567,234,456.78,East,79,45670,223
8,6789,345,678.90,West,84,67890,334
9,1234,89,123.45,North,71,12340,78
10,5678,267,345.67,South,86,56780,256
11,8765,423,765.43,East,91,87650,412
12,3210,156,210.98,West,77,32100,145
13,7654,378,654.32,North,89,76540,367
14,2109,134,109.87,South,81,21090,123
15,6543,312,543.21,East,94,65430,301
16,4321,198,321.09,West,80,43210,187
17,9876,456,876.54,North,96,98760,445
18,5432,267,432.10,South,83,54320,256
19,3210,145,210.54,East,76,32100,134
20,8901,389,890.12,West,90,89010,378
21,2345,178,345.67,North,85,23450,167
22,7890,334,789.01,South,88,78900,323
23,4567,223,567.34,East,79,45670,212
24,6234,298,234.56,West,87,62340,287
25,1111,111,111.11,North,72,11110,100
26,2222,222,222.22,South,82,22220,211
27,3333,333,333.33,East,77,33330,322
28,4444,444,444.44,West,89,44440,433
29,5555,555,555.55,North,84,55550,544
30,6666,666,666.66,South,91,66660,655
31,7777,777,777.77,East,86,77770,766
32,8888,888,888.88,West,93,88880,877
33,9999,999,999.99,North,94,99990,988
34,1010,101,101.01,South,73,10100,99
35,2020,202,202.02,East,83,20200,191
36,3030,303,303.03,West,88,30300,292
37,4040,404,404.04,North,81,40400,393
38,5050,505,505.05,South,89,50500,494
39,6060,606,606.06,East,92,60600,595
40,7070,707,707.07,West,85,70700,696
41,8080,808,808.08,North,90,80800,797
42,9090,909,909.09,South,87,90900,898
43,1234,234,234.56,East,78,12340,223
44,5678,456,456.78,West,84,56780,445
45,9012,678,678.90,North,88,90120,667
46,3456,123,123.45,South,81,34560,112
47,7890,345,345.67,East,91,78900,334
48,2345,567,567.89,West,86,23450,556
49,6789,789,789.01,North,93,67890,778
50,4123,234,234.56,South,79,41230,223
51,8765,456,456.78,East,89,87650,445
52,2109,678,678.90,West,82,21090,667
53,5432,123,123.45,North,87,54320,112
54,9876,345,345.67,South,92,98760,334
55,3210,567,567.89,East,76,32100,556
56,7654,789,789.01,West,88,76540,778
57,1234,234,234.56,North,85,12340,223
58,5678,456,456.78,South,90,56780,445
59,9012,678,678.90,East,94,90120,667
60,3456,123,123.45,West,81,34560,112
61,7890,345,345.67,North,89,78900,334
62,2345,567,567.89,South,83,23450,556
63,6789,789,789.01,East,91,67890,778
64,4123,234,234.56,West,87,41230,223
65,8765,456,456.78,North,95,87650,445
66,2109,678,678.90,South,79,21090,667
67,5432,123,123.45,East,88,54320,112
68,9876,345,345.67,West,84,98760,334
69,3210,567,567.89,North,92,32100,556
70,7654,789,789.01,South,80,76540,778
71,1234,234,234.56,East,86,12340,223
72,5678,456,456.78,West,89,56780,445
73,9012,678,678.90,North,93,90120,667
74,3456,123,123.45,South,77,34560,112
75,7890,345,345.67,East,90,78900,334
76,2345,567,567.89,West,85,23450,556
77,6789,789,789.01,North,91,67890,778
78,4123,234,234.56,South,82,41230,223
79,8765,456,456.78,East,94,87650,445
80,2109,678,678.90,West,88,21090,667
81,5432,123,123.45,North,83,54320,112
82,9876,345,345.67,South,89,98760,334
83,3210,567,567.89,East,75,32100,556
84,7654,789,789.01,West,87,76540,778
85,1234,234,234.56,North,92,12340,223
86,5678,456,456.78,South,81,56780,445
87,9012,678,678.90,East,90,90120,667
88,3456,123,123.45,West,84,34560,112
89,7890,345,345.67,North,88,78900,334
90,2345,567,567.89,South,86,23450,556
91,6789,789,789.01,East,93,67890,778
92,4123,234,234.56,West,79,41230,223
93,8765,456,456.78,North,91,87650,445
94,2109,678,678.90,South,85,21090,667
95,5432,123,123.45,East,89,54320,112
96,9876,345,345.67,West,82,98760,334
97,3210,567,567.89,North,94,32100,556
98,7654,789,789.01,South,87,76540,778
99,1234,234,234.56,East,80,12340,223
100,5678,456,456.78,West,88,56780,445
